user_id,first_name,last_name,age,city,reg_date,plan,churn_date,total_minutes,total_messages,total_mb,messages_included,mb_per_month_included,minutes_included,usd_monthly_pay,usd_per_gb,usd_per_message,usd_per_minute,plan_name,extra_minutes,extra_messages,extra_mb,extra_gb,extra_calls_cost,extra_messages_cost,extra_internet_cost,total_extra_cost,facturacion,ratio_extra_minutes,ratio_extra_messages,ratio_extra_mb
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,,116.83,11.0,1901.47,1000,30720,3000,70,7,0.01,0.01,ultimate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,,1640.46,207.0,80437.94,50,15360,500,20,10,0.03,0.03,surf,1140.46,157.0,65077.94,63.55267578125,34.2138,4.71,635.5267578125,674.4505578125,694.4505578125,0.6952074375772196,0.7584540696399,0.8090453334820552
1002,Carlee,Hoffman,36,"Las Vegas-Henderson-Paradise, NV MSA",2018-10-21,surf,,777.13,88.0,40293.33,50,15360,500,20,10,0.03,0.03,surf,277.13,38.0,24933.33,24.348955078125,8.3139,1.14,243.48955078125002,252.94345078125002,272.94345078125,0.3566069981006138,0.43181813274793945,0.6187954679797387
1003,Reynaldo,Jenkins,52,"Tulsa, OK MSA",2018-01-28,surf,,1041.0,50.0,27044.14,50,15360,500,20,10,0.03,0.03,surf,541.0,0.0,11684.14,11.41029296875,16.23,0.0,114.1029296875,130.33292968749998,150.33292968749998,0.5196925982738463,0.0,0.43203962099292503
1004,Leonila,Thompson,40,"Seattle-Tacoma-Bellevue, WA MSA",2018-05-23,surf,,2618.95,177.0,156352.81,50,15360,500,20,10,0.03,0.03,surf,2118.95,127.0,140992.81,137.688291015625,63.56849999999999,3.81,1376.88291015625,1444.2614101562501,1464.2614101562501,0.809083790033854,0.7175140837562665,0.9017606398694236
1005,Livia,Shields,31,"Dallas-Fort Worth-Arlington, TX MSA",2018-11-29,surf,,470.22,11.0,17140.17,50,15360,500,20,10,0.03,0.03,surf,0.0,0.0,1780.1699999999983,1.7384472656249983,0.0,0.0,17.384472656249983,17.384472656249983,37.38447265624998,0.0,0.0,0.10385952992073026
1006,Jesusa,Bradford,73,"San Francisco-Oakland-Berkeley, CA MSA",2018-11-27,ultimate,2018-12-18,64.11,154.0,34187.19,1000,30720,3000,70,7,0.01,0.01,ultimate,0.0,0.0,3467.1900000000023,3.3859277343750023,0.0,0.0,23.701494140625016,23.701494140625016,93.70149414062502,0.0,0.0,0.10141781172965147
1007,Eusebio,Welch,42,"Grand Rapids-Kentwood, MI MSA",2018-07-11,surf,,2484.15,255.0,143852.74,50,15360,500,20,10,0.03,0.03,surf,1984.15,205.0,128492.73999999999,125.48119140624999,59.5245,6.1499999999999995,1254.8119140625,1320.4864140625,1340.4864140625,0.7987239063714996,0.8039215371011161,0.8932241401246008
1008,Emely,Hoffman,53,"Orlando-Kissimmee-Sanford, FL MSA",2018-08-03,ultimate,,1473.31,84.0,55473.04,1000,30720,3000,70,7,0.01,0.01,ultimate,0.0,0.0,24753.04,24.172890625,0.0,0.0,169.210234375,169.210234375,239.210234375,0.0,0.0,0.4462174778151301
1009,Gerry,Little,19,"San Jose-Sunnyvale-Santa Clara, CA MSA",2018-04-22,surf,,5589.68,0.0,187237.74,50,15360,500,20,10,0.03,0.03,surf,5089.68,0.0,171877.74,167.84935546875,152.6904,0.0,1678.4935546875,1831.1839546874999,1851.1839546874999,0.910549439483925,0.0,0.9179652563143539
1010,Wilber,Blair,52,"Dallas-Fort Worth-Arlington, TX MSA",2018-03-09,surf,,4788.86,0.0,137342.24,50,15360,500,20,10,0.03,0.03,surf,4288.86,0.0,121982.23999999999,119.12328124999999,128.6658,0.0,1191.2328125,1319.8986125,1339.8986125,0.8955910156162615,0.0,0.8881625928856147
1011,Halina,Henry,73,"Cleveland-Elyria, OH MSA",2018-01-18,ultimate,,2744.87,371.0,131778.6,1000,30720,3000,70,7,0.01,0.01,ultimate,0.0,0.0,101058.6,98.6900390625,0.0,0.0,690.8302734375001,690.8302734375001,760.8302734375001,0.0,0.0,0.7668817242885506
1012,Jonelle,Mcbride,59,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2018-06-28,surf,2018-11-16,143.73,0.0,25811.97,50,15360,500,20,10,0.03,0.03,surf,0.0,0.0,10451.970000000001,10.207001953125001,0.0,0.0,102.07001953125001,102.07001953125001,122.07001953125001,0.0,0.0,0.40492724871254415
1013,Nicolas,Snider,50,"Knoxville, TN MSA",2018-12-01,ultimate,,203.37,16.0,20113.92,1000,30720,3000,70,7,0.01,0.01,ultimate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0
1014,Edmundo,Simon,61,"New York-Newark-Jersey City, NY-NJ-PA MSA",2018-11-25,surf,,1199.95,73.0,8968.0,50,15360,500,20,10,0.03,0.03,surf,699.95,23.0,0.0,0.0,20.9985,0.69,0.0,21.6885,41.688500000000005,0.5833159666376435,0.3150684499906233,0.0
1015,Beata,Carpenter,26,"Pittsburgh, PA MSA",2018-12-05,surf,,89.49,68.0,17495.12,50,15360,500,20,10,0.03,0.03,surf,0.0,18.0,2135.119999999999,2.085078124999999,0.0,0.54,20.85078124999999,21.39078124999999,41.39078124999999,0.0,0.26470584342561126,0.12204088904675077
1016,Jann,Salinas,30,"Fresno, CA MSA",2018-10-25,surf,,1562.3,95.0,59359.25,50,15360,500,20,10,0.03,0.03,surf,1062.3,45.0,43999.25,42.968017578125,31.868999999999996,1.3499999999999999,429.68017578125,462.89917578125,482.89917578125,0.679959030404154,0.47368416066482516,0.7412366226424295
1017,Boris,Gates,61,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2018-08-26,surf,,1579.81,152.0,95315.32,50,15360,500,20,10,0.03,0.03,surf,1079.81,102.0,79955.32,78.0813671875,32.394299999999994,3.06,780.8136718750001,816.2679718750001,836.2679718750001,0.6835062400952884,0.6710525874307508,0.8388506694580838
1018,Dennis,Grimes,70,"Indianapolis-Carmel-Anderson, IN MSA",2018-10-17,surf,,1223.45,16.0,41379.43,50,15360,500,20,10,0.03,0.03,surf,723.45,0.0,26019.43,25.409599609375,21.703500000000002,0.0,254.09599609375,275.79949609375,295.79949609375,0.5913196240850086,0.0,0.628801073231603
1019,Shizue,Landry,34,"Jacksonville, FL MSA",2018-01-16,surf,,483.36,152.0,31140.68,50,15360,500,20,10,0.03,0.03,surf,0.0,102.0,15780.68,15.4108203125,0.0,3.06,154.108203125,157.168203125,177.168203125,0.0,0.6710525874307508,0.5067545087304598
1020,Rutha,Bell,56,"Dallas-Fort Worth-Arlington, TX MSA",2018-11-08,surf,,881.02,4.0,31749.42,50,15360,500,20,10,0.03,0.03,surf,381.02,0.0,16389.42,16.00529296875,11.430599999999998,0.0,160.05292968749998,171.48352968749998,191.48352968749998,0.43247598882572486,0.0,0.5162116345696357
1021,Ricarda,Booker,37,"Los Angeles-Long Beach-Anaheim, CA MSA",2018-12-21,surf,,378.27,0.0,6084.63,50,15360,500,20,10,0.03,0.03,surf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
